"Number of MRMR features","Outcome","Number of training subjects","Lasso","Ridge","Elastic net","Random forest","KDPI"
"67","DGF","112",0.847164440783415,0.8460551554718,0.777822124094203,0.927445652173913,0.522493696313711
"68","DGF","112",0.850815217391304,0.851952924247096,0.781056845304003,0.939130434782609,0.53470213756758
"69","DGF","112",0.856521739130435,0.843478260869565,0.782608695652174,0.928532608695652,0.533423904790954
"70","DGF","112",0.845108695652174,0.849184782608696,0.78179347826087,0.940625,0.526676753952569
"71","DGF","112",0.845420762812067,0.846195652173913,0.766511307039978,0.936277173913043,0.518798377799736
"72","DGF","112",0.846979179870706,0.833263880086196,0.772010869565217,0.928940217391304,0.551975366805761
"73","DGF","112",0.753532608695652,0.854268934081346,0.761854619565217,0.931385869565217,0.522571525524901
"74","DGF","112",0.75395256916996,0.839623432985234,0.757065217391304,0.929076086956522,0.512224546940847
"75","DGF","112",0.75694491183201,0.861976667650894,0.766177398989899,0.939130434782609,0.548074331974638
"76","DGF","112",0.746714063384267,0.842391304347826,0.760143412463422,0.929755434782609,0.543662852325287
"77","DGF","112",0.758695652173913,0.862284518201892,0.763858695652174,0.927989130434783,0.525491440694757
"78","DGF","112",0.753804347826087,0.854116720925727,0.765217391304348,0.932880434782609,0.526294577430386
"79","DGF","112",0.763315217391304,0.862162668665667,0.773097826086957,0.935869565217391,0.532518032761228
"80","DGF","112",0.758592720685112,0.866578455053519,0.773760150066811,0.930163043478261,0.533575706248183
"81","DGF","112",0.756764032844259,0.857672294172063,0.765760869565217,0.927309782608696,0.52832664753629
"82","DGF","112",0.758423913043478,0.854265378920447,0.765540081521739,0.928940217391304,0.526694533555316
"83","DGF","112",0.746688650376539,0.841304347826087,0.754891304347826,0.930163043478261,0.516901366888779
"84","DGF","112",0.739175724637681,0.850423172701575,0.768206521739131,0.923097826086956,0.528771060381104
"85","DGF","112",0.758967391304348,0.864481558378114,0.752717391304348,0.931929347826087,0.525894085634127
"86","DGF","112",0.75825165984241,0.852986823650993,0.754619565217391,0.931929347826087,0.518591039824511
"87","DGF","112",0.752445652173913,0.86875,0.75356905184434,0.930027173913043,0.518648034806808
"88","DGF","112",0.76519719928105,0.869021739130435,0.754468125042659,0.937635869565217,0.549718369226493
"89","DGF","112",0.745652173913044,0.864673913043478,0.740138006839277,0.929619565217391,0.53010182590826
"90","DGF","112",0.746450046253469,0.863842787859042,0.745108695652174,0.936141304347826,0.517956530184791
"91","DGF","112",0.752165678524374,0.76973214326139,0.748097826086956,0.93383152173913,0.539130434782609
"92","DGF","112",0.754488317065957,0.7460694091674,0.747554347826087,0.933559782608696,0.525021175557732
"93","DGF","112",0.754076086956522,0.75579002731232,0.75,0.935597826086957,0.532171421573596
"94","DGF","112",0.759510869565217,0.747043807641634,0.75275990831115,0.933016304347826,0.541666024624099
"95","DGF","112",0.767119565217391,0.763434806655169,0.754213483146067,0.940217391304348,0.527999059447221
"96","DGF","112",0.751392374695504,0.744154428338102,0.746739130434782,0.934103260869565,0.520095615669171
"97","DGF","112",0.759984682955636,0.742905791137099,0.750208687040181,0.939402173913043,0.517318026380069
"98","DGF","112",0.756442078196895,0.756258465841974,0.755174269826038,0.93383152173913,0.52000330182723
"99","DGF","112",0.745923913043478,0.738409590531598,0.739220245564824,0.933152173913044,0.538666144448098
"100","DGF","112",0.751245478724717,0.75717945477172,0.74151295133438,0.933288043478261,0.534108883058471
